Stations_id;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr
24;46;     115.3;     102.3;     133.5;     122.1;135;     182.3;     186.2;     171.6;     125.8;     104.9;     131.7;     129.3;    1640.1
25;46;      73.3;      62.2;      76.8;      76.1;     103.3;     119.1;     105.5;      84.2;80;83;88;      88.5;    1039.9
26;46;      57.1;      41.9;52;45;      48.5;      72.8;      65.6;      58.7;      54.3;      53.2;      54.1;      68.1;     671.4
27;46;      95.1;      90.1;     125.8;     123.7;     137.5;     195.9;     200.8;     182.7;     131.7;     103.1;     132.2;117;    1635.8
28;45;      69.3;63;      68.6;      63.5;      81.9;     102.2;      88.1;      79.3;      64.3;      74.5;      74.3;      86.3;     916.3
29;45;49;      40.1;      49.9;      43.1;      54.5;      77.7;      74.9;52;      56.8;      55.1;      50.8;      60.1;     663.5
30;45;76;      59.6;      67.5;      50.9;      64.6;      79.1;      74.7;      57.6;      56.7;      73.7;      70.7;      90.9;     822.2
31;46;      56.7;      38.6;      50.7;      44.7;      60.1;      67.9;      67.4;      57.5;      54.2;50;      56.5;62;     666.3
32;46;      68.5;      44.9;      63.6;      54.4;      63.8;      71.1;      64.5;      63.3;      56.3;      56.4;      60.3;79;746
33;45;      36.9;      30.4;41;      38.6;      52.8;      66.3;      51.6;      55.9;      41.6;      37.4;37;      48.5;     534.2
34;46;      58.2;54;      61.8;      55.8;      79.5;      91.9;      78.9;      62.1;      60.2;      69.5;      66.5;      68.4;     806.8
35;46;      50.1;      42.3;      50.6;      49.5;      61.3;      80.9;      77.3;      74.9;      55.9;      49.7;      54.4;      60.4;     707.3
36;45;     100.1;      66.3;      90.3;      64.9;75;      93.7;      90.3;      88.2;      83.2;      77.2;      90.9;     113.2;    1033.1
37;45;      38.4;      39.4;      41.6;      57.3;      81.2;     102.4;107;      87.5;      67.9;      55.5;      57.7;49;     777.1
38;45;      81.3;      52.9;      71.9;      52.2;      62.7;      81.9;72;      65.5;      78.2;67;      77.5;      86.9;     844.4
39;46;      66.1;      46.1;      59.3;      45.3;      56.2;      73.9;      71.1;      66.8;      63.5;      60.5;      63.8;      73.5;     746.2
40;45;      42.2;      31.3;      43.2;      38.7;      47.3;      65.8;      65.1;      57.5;      50.9;      39.5;      47.2;      54.9;     581.6
41;45;      59.2;      41.4;      52.5;      41.3;      52.9;      70.3;      64.4;      67.6;      54.7;      51.6;55;      64.1;     675.4
42;45;      63.5;      44.1;      62.5;      45.4;      60.7;70;69;      60.6;      68.4;      56.5;      63.1;      71.5;     734.6
43;46;      67.2;46;      60.4;      44.3;      56.1;      78.5;      75.3;70;      82.6;      75.2;      84.5;76;816
44;45;65;      42.8;61;      46.5;      54.2;      76.2;      73.2;      67.3;      66.9;      62.3;      65.8;      72.8;     758.2
45;45;      52.8;      41.4;      49.7;      46.9;      63.4;      73.4;      60.5;      54.2;      54.5;      53.3;      57.8;      62.1;     668.8
46;45;54;      45.5;      47.6;      42.9;      62.5;      83.5;      94.7;      72.4;      62.7;      57.9;      61.7;      64.6;749
47;45;      59.9;      47.9;      56.6;      48.8;      61.6;      76.9;      73.3;      56.1;      53.5;      68.2;      63.3;      77.5;     745.4
48;46;      60.6;      43.1;      55.2;      48.1;      55.1;      82.6;      79.6;      57.1;      60.7;      57.8;      57.1;      70.2;     727.2
50;46;     116.5;      79.8;     109.1;      80.3;      84.2;     105.9;     103.2;      94.3;      92.7;      96.6;     112.2;     137.4;    1212.3
51;46;      67.3;      44.1;      56.7;      44.9;      47.4;      67.3;      76.9;      67.4;      65.2;      62.2;      68.7;      73.1;     741.2
52;45;      72.1;      46.3;      65.7;49;      54.8;      75.7;      72.4;      78.7;      70.3;      69.7;      72.3;      85.2;814
53;46;      43.1;      35.2;      41.7;      38.1;      53.8;      65.5;      54.4;      60.7;      46.7;      36.6;      45.5;      57.2;     578.4
54;46;      70.4;      40.6;      53.5;      43.6;      49.2;72;      71.3;      66.7;      83.3;      90.2;      89.4;      80.7;811
55;45;      52.9;      50.5;      64.1;      76.9;103;     145.2;     139.6;     134.1;      92.3;      66.1;      78.7;      65.2;    1061.2
56;46;      64.7;      50.9;      60.4;67;      87.6;     112.9;     107.2;     107.5;      66.3;      62.2;      70.5;      68.8;926
57;46;      47.1;      44.9;49;      60.5;      83.4;102;     106.4;      86.4;      69.7;      61.7;      63.6;      58.5;     833.4
58;46;      62.3;      60.3;      66.6;      81.4;      97.7;     128.3;     129.1;     109.8;      87.4;      74.7;      85.5;      78.4;    1061.5
59;45;      48.8;      45.5;      51.9;54;      70.2;      98.3;      93.5;83;      68.1;      59.9;      64.2;      60.4;     795.3
60;46;      48.2;      49.7;      48.5;60;      78.7;95;     100.5;      83.7;      70.9;      64.7;      63.9;      61.8;     825.4
61;46;      52.5;      43.9;      49.3;      43.9;68;      88.3;      89.4;      78.8;      62.8;      54.7;      59.9;      63.7;     755.2
62;45;     167.5;142;     141.6;140;     150.4;     158.4;     145.2;     114.3;     121.1;     149.8;172;     199.5;    1796.6
63;45;      82.9;      78.7;88;      96.2;105;     153.4;     142.8;     138.1;     102.7;81;105;     100.5;    1267.5
64;45;      32.2;28;      37.8;      34.8;      49.4;      59.7;      51.7;57;      42.4;      35.6;      36.5;      44.8;     508.6
65;45;      64.5;58;      71.1;      78.5;      96.6;     123.9;     134.7;     112.1;      90.1;      68.1;      84.3;      75.9;    1054.1
66;45;      74.4;      47.9;      64.7;      49.1;      54.2;      84.9;      86.4;      75.6;      94.7;      92.2;      93.9;      91.6;     911.7
67;46;      56.8;      44.7;      55.8;      41.4;      60.1;      86.1;      85.3;      65.2;      66.5;      60.8;      55.6;      71.2;     749.6
68;45;      35.4;      30.2;39;      49.6;      47.5;67;      61.8;      60.5;      44.1;      40.2;      44.9;      47.8;568
69;45;      61.9;      62.8;      68.2;      85.8;     107.8;     122.3;     108.7;      87.5;      70.2;      78.3;      77.5;      78.1;    1008.5
70;46;      57.1;      57.1;      57.8;      71.2;      91.7;     110.8;     100.9;      81.7;      62.9;      66.9;70;      72.9;     900.9
71;46;      60.4;58;      68.1;      77.7;      98.5;     111.4;     107.6;      76.9;      64.1;      80.2;      72.2;      78.5;     953.7
72;46;      62.6;      68.9;      77.3;93;     107.3;     131.4;     104.5;      94.6;      72.5;      79.7;      82.1;      80.6;    1054.6
73;45;      54.2;      45.7;54;51;      72.9;      92.6;     105.6;      81.3;      61.9;      53.1;      62.2;      64.4;     790.1
74;46;      44.8;      39.6;      45.5;      48.2;      69.5;      78.8;      80.4;62;      55.2;      53.1;      51.5;      54.7;     683.4
75;46;      83.1;      70.1;      79.2;      71.9;87;     109.8;      99.2;      83.8;      75.9;      83.3;      91.3;      97.7;    1032.3
76;46;      78.3;      68.7;      78.5;      70.1;      90.5;     110.9;      99.9;      80.5;      75.2;82;      87.6;      93.6;    1015.7
77;45;      65.6;      47.5;61;51;      62.2;      70.8;      69.3;      64.6;      55.8;      57.1;      59.5;      74.7;     739.9
78;45;      73.3;      49.9;      66.5;      49.8;      54.8;      78.5;68;      66.5;      68.2;      69.2;      68.7;      80.7;     789.6
79;45;      41.7;      37.2;      50.9;      45.4;      61.2;      69.9;      65.4;      54.4;      59.3;      48.2;      51.4;      52.3;     635.8
80;45;      44.1;      36.8;      48.3;      49.3;      61.2;      70.3;      68.1;      53.1;      53.1;      51.6;      54.5;      53.6;     645.6
81;45;      94.4;      58.3;      72.6;      50.8;      63.4;      74.1;      63.8;      62.8;64;      74.1;      83.6;     104.3;     865.9
82;46;      64.9;      45.3;      58.1;      43.4;      58.9;73;67;      66.7;      60.3;      59.8;      61.2;      74.7;     733.2
83;45;      45.4;      34.4;      46.9;      40.7;      49.6;      63.7;      51.9;      53.4;      40.1;      40.7;44;      57.2;     567.4
84;45;      49.6;      43.9;      52.2;      52.1;      69.1;      88.7;      88.9;      75.9;      62.2;      57.9;58;      65.3;     765.3
85;46;      60.8;      51.3;      62.5;      51.4;      62.9;69;      57.4;      58.7;      48.1;51;      61.8;      70.9;     705.9
86;45;      29.2;      26.9;      36.8;      34.5;      57.5;      59.7;      57.4;      47.5;      38.8;      35.2;      34.5;      38.5;     494.9
87;45;      23.9;      21.9;      28.8;      34.8;      51.8;      59.6;      55.4;      50.6;      34.9;      32.4;      32.1;      30.9;     456.4
88;46;     123.6;109;     106.9;      90.8;     106.6;     113.1;     107.5;      90.5;      81.9;104;125;     137.9;    1296.9
89;46;      39.7;      35.7;      40.7;      37.5;      57.1;      61.9;      62.7;      50.4;      46.2;      51.8;      49.9;      50.9;     584.6
91;46;      48.8;38;      48.5;      47.2;      63.9;      66.9;      64.9;      53.9;      54.7;57;      55.9;      58.3;658
92;46;      50.1;      43.7;      51.5;      50.9;70;      71.4;      62.6;      53.9;      55.4;      58.1;56;60;     683.7
93;45;      47.2;      36.3;      47.9;      44.9;      58.8;      66.5;      57.4;      52.5;      49.5;      51.7;      50.8;      56.3;     619.7
94;45;      52.3;      37.2;      45.3;      43.2;      48.9;      63.4;      64.3;62;      45.9;      45.5;      51.3;      63.8;     621.9
95;45;37;      33.1;      38.1;      36.7;      53.4;60;      58.7;      54.6;      42.8;      35.3;      42.5;      52.8;     556.2
96;45;      49.7;      34.8;      40.6;      38.2;      52.7;      65.5;      55.7;      54.7;      43.2;      41.3;      45.5;      59.1;     578.4
97;46;      33.7;      28.7;      37.1;      36.1;55;      64.8;      57.6;      56.7;      41.3;      36.3;      38.2;      43.8;     529.5
98;46;     126.7;      83.3;     106.2;      81.5;79;     102.4;97;      83.8;      98.7;     101.2;     116.5;     135.6;    1211.9
99;45;      42.3;      35.6;      46.5;      40.7;      50.3;      64.6;      51.6;      57.1;      43.1;      42.2;      43.3;      54.9;     571.3
100;45;      38.7;30;      38.1;      40.6;      52.1;      61.9;      54.5;      57.5;      42.6;      34.9;      41.9;      50.2;     543.2
101;45;      68.2;      54.4;62;      57.4;      71.6;      92.2;      92.9;72;      65.7;66;      67.2;      78.9;     852.4
103;46;      46.7;      39.3;      44.5;      41.8;      62.2;82;      91.2;      74.9;      55.4;      50.7;      52.8;      56.2;     697.8
104;45;     120.5;      84.2;     106.4;      71.7;      79.7;      98.7;      93.5;      78.2;      91.3;      97.3;     106.7;     124.9;    1149.6
105;45;      49.3;      41.4;      50.8;      49.7;      67.5;      65.5;      68.6;      56.6;      56.6;      50.2;      55.3;      55.1;663
107;46;     140.1;      91.4;     125.8;      89.5;      90.7;     113.3;     114.9;     100.4;     102.7;     109.4;     131.3;     164.5;    1373.9
108;46;     120.8;      85.3;     118.1;      84.7;      87.1;     106.3;     102.2;      94.9;      92.8;     104.1;     116.8;     140.9;1254
109;46;     155.5;     106.8;     142.1;      98.3;      93.6;     121.4;     120.4;     107.8;     112.8;     125.9;     143.2;     178.2;1506
110;45;      72.5;      47.9;65;      46.6;      58.1;      77.5;      66.2;      60.1;71;      61.5;      70.6;      79.5;     774.2
111;46;      61.4;      47.4;      64.3;      51.3;63;      66.8;      51.6;      60.3;      45.7;51;      59.5;      68.7;691
112;45;      59.2;      43.6;      62.2;      52.2;      66.8;      66.6;      54.2;      66.4;      46.8;      53.8;      62.2;      66.3;695
113;46;      59.1;46;      62.3;      51.8;      62.7;      65.5;      51.3;      60.5;      46.1;      50.6;      56.9;66;     678.8
115;45;      55.5;      42.2;      59.3;      51.4;63;      63.9;      50.5;      63.1;      44.6;      51.9;      57.4;63;     670.4
116;46;      33.8;      33.1;      42.7;      48.1;      54.7;      70.9;      68.8;      65.8;      49.1;      40.2;      45.7;      43.7;     596.7
117;45;      86.1;      65.1;      78.7;      63.2;      62.6;      85.2;      88.1;      66.4;      73.3;      75.5;      88.1;     110.2;     938.9
118;45;      52.3;      41.4;      48.9;      41.7;      62.5;      86.2;      88.1;      63.9;      57.3;      55.7;      50.5;      58.6;     705.4
119;45;      50.1;      32.6;      44.6;      35.1;      51.6;      72.1;      66.3;      63.9;      61.9;      56.1;      51.4;      56.5;     645.4
120;46;      51.1;      37.6;      46.3;      42.6;      57.4;      73.3;      61.3;      59.1;      46.4;      40.5;      48.4;      63.8;     627.8
121;45;88;      69.1;      84.2;      65.2;      78.4;      88.8;90;      72.8;      83.3;      82.8;      93.1;     105.7;     995.5
122;45;57;      39.3;      51.7;49;      49.7;      67.2;65;      62.3;      52.9;      50.3;      53.3;      63.4;     660.9
123;46;      69.2;51;      58.6;      42.7;      62.4;      82.8;      80.8;66;      60.4;      60.4;      60.5;      74.5;     769.3
124;45;      32.1;      28.6;40;      39.4;      55.3;      61.6;      61.6;      52.5;      43.3;      38.1;      38.9;      40.7;     532.6
127;45;      78.8;      73.1;      67.1;64;      87.7;      94.8;      77.4;      74.4;      64.1;      73.6;82;      95.1;     933.3
128;45;      53.1;      45.6;      52.6;      43.8;      71.1;      89.5;      93.3;      81.1;      61.8;      51.9;55;      65.4;     765.6
129;45;      43.6;      28.1;      39.3;      33.9;      49.8;      62.9;      58.3;      47.4;      42.3;      36.8;      41.2;      51.2;     534.1
130;45;      52.4;42;      52.7;      47.4;      60.3;      77.9;      68.7;      55.9;48;56;      55.4;      64.7;     682.2
131;45;      49.8;44;      54.5;56;58;      70.9;      77.2;76;56;      47.9;      58.7;      62.1;     706.4
132;46;      65.5;      54.9;      66.4;      56.8;      84.8;     101.1;     103.9;      83.7;      76.7;      71.7;      67.7;      79.4;     912.4
133;45;      61.8;      60.6;      59.6;      57.9;85;      95.3;      70.9;      69.3;      60.9;63;      74.8;      73.6;     835.5
134;46;      75.3;      56.3;      62.2;      53.1;      69.4;      87.8;     100.8;80;      67.8;65;      68.4;      83.3;     869.5
135;46;38;      36.3;      48.1;      52.2;      57.5;      75.8;      72.6;      62.7;      49.3;      45.2;      52.4;      47.5;     637.6
137;46;     103.1;      74.2;      90.7;      81.6;     101.9;118;     145.5;     114.8;      96.3;      91.1;     101.3;     126.2;    1244.6
138;46;      47.8;      39.7;      44.3;      40.6;      60.9;      84.1;      88.8;      73.5;      55.5;      52.7;      54.6;      58.6;     701.1
139;45;      50.2;      43.2;      47.8;      45.7;      69.2;      89.9;87;      72.9;      56.5;60;59;      64.5;     745.4
140;45;      41.3;      31.3;      40.1;      39.4;      42.8;      60.1;      59.6;      53.5;      45.1;      38.9;      40.5;      47.7;     541.3
141;45;      35.3;      34.2;      42.7;      50.9;      55.7;      71.5;      70.6;      71.4;      51.2;      43.9;49;      46.1;625
142;45;      48.3;      45.7;      51.1;      63.4;86;     114.4;     113.6;92;      74.9;      63.5;66;      58.4;     873.7
143;45;54;      50.6;      55.4;      67.2;      91.1;     116.1;     118.1;      96.3;      78.4;      65.2;      71.3;65;     925.7
144;45;34;      27.7;      32.2;      30.8;      50.6;      58.6;58;      50.9;      39.9;31;      35.1;      42.4;     491.5
145;45;      78.1;      75.6;      85.7;      94.7;     106.6;     143.1;     135.9;     124.1;      97.1;      85.9;     104.9;     100.4;    1229.1
146;45;      87.2;      88.8;     100.6;     104.9;     123.2;     163.5;     162.9;     136.9;     113.6;      91.3;116;     117.6;    1401.8
147;45;      38.6;      27.1;      39.2;      33.8;      55.6;      62.7;      58.2;      57.1;      45.9;      37.2;      41.2;      46.3;     539.3
148;46;      66.2;      47.3;      60.8;      46.6;      53.7;      81.3;      78.5;      71.1;      71.9;      72.9;      73.9;      82.4;     806.6
149;46;      51.6;      45.3;      53.7;51;      62.3;      71.5;      79.3;      59.7;      55.1;60;      63.1;      67.5;720
150;45;      35.1;      33.3;39;41;      60.8;      57.8;      64.4;      43.4;      45.8;      49.7;      48.6;      47.2;     561.1
151;45;      54.1;      43.5;      46.9;      38.5;      56.5;      82.4;      80.7;      66.6;      49.5;      53.2;      51.8;      61.8;     687.9
152;45;      72.5;47;      61.3;      49.4;      50.7;      75.2;      72.9;      61.7;59;      58.4;      67.6;      77.1;     753.4
153;46;      60.7;      58.9;      77.6;      85.9;     111.8;     148.2;     148.8;     134.2;     100.2;      71.9;      86.1;      77.5;    1161.9
154;46;      58.9;      56.6;      75.5;      83.6;     110.5;144;147;     131.4;      98.2;      71.1;84;      73.3;    1134.1
155;45;51;47;      46.3;      54.3;      76.5;      93.5;      91.7;      64.9;      60.7;58;      59.5;      60.1;     764.5
156;45;      29.2;      25.1;      34.9;      32.1;      49.3;      60.6;      47.6;      50.8;      34.8;      32.2;      32.1;      37.2;     466.1
158;45;      47.7;      37.2;      46.6;      39.4;      62.8;      58.1;      61.9;      52.7;53;      57.4;      50.4;      57.8;     625.2
159;45;      72.6;      55.2;      67.4;      52.3;      66.3;      68.8;      73.8;      57.7;      55.8;      70.9;      66.8;      86.2;     793.1
160;45;      44.5;      46.9;      55.8;      74.3;     101.8;137;     136.9;     122.9;      89.3;      67.9;      70.6;      56.1;     999.3
161;45;      41.2;      33.2;      46.3;      42.5;      52.8;      57.8;      72.4;      53.4;      48.1;      47.5;      51.2;      49.9;     595.8
162;45;75;66;      91.9;      90.5;     117.7;     164.1;     173.2;     155.5;     108.9;      82.7;      99.9;      87.6;    1312.3
163;45;     157.7;     135.8;     163.6;     150.8;158;     204.7;     205.8;     188.1;     144.4;     127.9;     169.7;     162.5;    1961.5
164;45;      34.8;      25.7;      34.8;      34.4;      48.7;      61.7;      55.4;      54.1;      40.3;      32.3;38;      44.5;     504.8
165;45;38;      30.9;41;      33.4;45;      59.2;      47.4;      50.8;      42.3;35;39;      48.4;     510.1
166;46;      24.7;      23.1;      31.1;      34.3;      45.9;      52.1;      51.4;      46.8;      36.1;      30.7;      31.5;      34.2;     441.9
167;45;      44.5;      30.5;      40.8;      36.2;      49.4;      60.6;      57.8;56;      53.9;      40.3;      45.8;      53.5;     568.4
168;45;      82.3;      48.5;      69.4;      51.2;      56.2;      84.9;      67.7;      63.3;      69.1;      71.6;      78.7;      85.3;     826.9
169;45;      64.3;      51.7;      62.8;      60.9;      65.1;      95.2;      90.2;      82.3;      66.5;      52.7;      63.4;      73.2;     826.3
170;45;      37.9;      32.2;      43.1;      42.8;      50.8;      59.1;      54.6;64;      44.5;      39.3;      43.1;      52.6;     569.4
172;46;      78.7;      55.4;      73.6;      59.2;      64.6;      88.4;      78.1;      70.4;      67.4;      67.7;      72.4;88;     864.1
173;45;      66.6;60;58;      50.8;      70.4;73;      71.5;      53.5;      63.3;      76.8;      77.8;      88.8;     806.6
174;46;      74.3;      66.2;      62.8;      54.5;      74.2;      77.8;      76.3;      56.8;      68.5;      80.6;      84.4;      97.8;874
175;46;50;      46.5;      50.6;      48.4;      65.4;      75.9;      71.3;      65.7;      51.7;      58.4;      55.6;      63.5;     702.9
177;46;      46.8;      42.4;      47.3;      44.3;      63.8;      70.8;      68.3;      60.9;      50.5;54;      50.7;      56.1;     655.9
178;46;51;      45.5;      50.8;      47.1;      65.3;      77.1;      70.4;      62.9;      52.9;57;56;      62.3;     698.3
179;45;      58.8;60;      70.5;      86.2;     106.3;     148.9;     147.4;     135.5;      96.4;76;      87.7;      75.9;    1145.5
180;45;      32.2;      29.4;      39.6;      43.3;      56.1;      68.4;65;63;      41.4;      41.7;42;      41.1;     564.4
182;45;      44.5;      32.1;      40.6;      40.1;      45.2;      60.9;      53.2;      47.6;      41.5;      40.3;      41.8;      52.7;     540.5
183;45;      38.1;      24.2;      34.4;      29.9;      36.1;      56.5;      53.9;      53.5;      55.2;      50.9;      46.4;      43.7;     525.6
184;45;38;      28.6;      37.7;      36.1;      38.4;      58.3;      55.3;      52.7;      41.5;      37.8;      38.5;      47.6;     512.1
185;46;      65.5;      41.4;      53.8;      39.6;      48.5;      61.6;69;      59.2;      67.5;      71.7;      74.1;      69.9;     721.8
186;45;      95.7;      64.9;      85.1;      71.1;      77.7;      94.5;      90.9;      73.9;78;      71.7;      91.4;     102.9;     994.5
187;45;      80.6;      58.9;      75.8;      63.2;      72.7;      88.4;      85.8;      66.8;      75.2;      71.9;78;88;     905.4
188;46;      26.7;      27.7;      40.3;      41.8;      53.8;      62.4;      56.5;      54.1;38;      35.4;      36.3;      34.8;     507.9
189;45;      52.7;      41.4;46;43;53;      68.6;      64.7;      53.2;      49.8;      54.6;55;      63.5;     643.7
190;45;49;      39.2;      44.6;      41.1;      54.7;      64.6;      66.2;      54.4;      45.9;      52.4;      55.2;60;     625.1
191;46;      49.3;      39.2;      45.7;      40.6;      56.2;      66.2;66;      52.3;45;      51.4;      53.5;      59.3;     624.6
192;45;      45.6;      41.8;      50.9;      50.4;      73.1;      95.6;      98.7;84;65;      52.8;      59.5;      59.3;     772.5
193;45;      59.7;      42.3;      52.1;      48.5;      66.7;      77.2;      66.4;      62.6;      58.2;      52.9;      63.6;      68.4;     720.8
194;45;      45.9;      37.7;      44.6;46;      62.6;      67.9;      59.1;      59.8;      58.4;      51.3;54;      53.1;     637.6
196;45;      56.7;      35.5;      49.6;      44.3;      61.8;      66.8;      60.4;      53.2;      55.9;      48.3;      59.5;      63.4;     655.5
198;45;      27.6;22;32;      31.4;      52.2;      55.8;      55.1;      46.7;      38.4;      33.2;32;      34.3;     460.7
199;45;      56.9;      38.7;      50.9;      44.4;      50.5;      67.9;      66.7;      61.4;      59.2;      50.5;      55.4;64;     667.5
200;45;     103.6;      69.2;      86.9;      67.6;      77.7;74;      74.8;      63.6;81;      90.7;     100.7;     110.4;    1012.5
201;45;      79.7;      56.4;      75.8;      62.6;      71.9;      87.1;      89.3;      71.4;      73.8;      77.2;      80.3;      86.4;     914.8
202;45;      47.4;      41.3;      51.3;47;      63.5;      69.6;69;      59.2;      52.5;      55.2;      57.7;      59.1;     668.3
203;45;     121.6;     110.1;     152.6;     162.8;     175.9;     238.6;     249.6;212;     168.2;     136.8;     168.4;     145.9;    2034.4
204;45;     109.9;     105.8;     140.3;     138.5;155;     239.1;     246.5;220;     160.4;     119.4;     159.4;135;    1919.1
205;45;     140.8;     121.3;     173.7;     159.6;     171.2;     252.5;     270.3;     225.9;     170.8;     133.6;172;     163.2;    2148.9
206;46;      67.5;      46.4;      60.3;45;      59.8;      78.8;      79.4;      69.6;      74.6;      68.2;      73.2;      70.8;     793.5
207;46;27;      22.6;      33.6;      34.1;      50.4;      60.3;      50.6;      50.6;      34.8;      31.4;      29.8;      33.3;     458.5
208;45;      28.8;      27.3;      35.5;      36.7;      47.5;      55.5;      57.4;48;36;      34.3;      32.7;      37.3;     477.7
209;46;62;      58.7;      69.7;      64.5;      89.6;     101.5;      90.3;      75.3;      71.4;      73.9;      76.2;      78.4;     911.4
211;46;      68.1;      51.9;      64.4;49;      64.3;      70.7;      63.9;      54.9;      59.1;68;      68.5;      84.1;767
213;45;      33.7;      28.9;      42.5;      44.5;      57.2;      65.4;      52.1;      58.3;      42.6;      35.3;      35.6;      40.8;     532.3
214;45;     121.3;      82.6;     101.2;      65.7;      69.9;      87.1;      85.5;      68.1;      87.8;      90.1;     105.3;     129.6;    1093.8
215;45;132;      88.6;     113.1;      69.1;      72.8;      92.3;      91.7;      72.8;96;      99.9;     116.8;     142.7;    1187.3
216;45;     123.4;      82.7;     103.6;      65.6;      70.9;      87.3;      85.9;      68.3;      88.2;      93.5;     109.2;     133.9;    1110.2
217;45;      53.6;      55.2;      64.2;      84.5;     103.8;     152.4;     158.6;130;      99.2;      70.9;      83.6;      66.3;    1120.7
218;45;      29.5;      25.2;      35.9;      32.3;      47.7;      56.9;      49.2;      51.7;      37.1;31;      32.8;      39.9;     469.9
219;46;      24.4;      20.2;      30.8;      28.1;43;      51.4;      43.2;      44.6;      33.1;      28.6;      29.1;      34.7;     411.3
220;46;      61.7;      56.6;      57.1;57;      84.9;      88.9;      75.9;      57.7;      65.4;      72.5;      75.9;      77.6;     831.2
221;46;      48.2;      44.9;      54.1;      59.5;      79.5;105;     108.9;      90.1;      72.6;59;      63.7;      58.8;     844.4
222;46;      51.3;      45.3;      56.4;      63.6;      72.4;      96.8;90;      85.6;      61.9;      51.6;      59.9;      63.5;     798.2
223;45;      74.4;52;      64.3;      51.7;      69.4;      82.5;      86.5;      65.9;      63.2;      67.1;      67.7;      85.3;     833.4
224;46;71;      67.3;      82.5;      99.9;     131.9;     195.8;176;     165.2;     110.7;      87.2;94;      80.5;    1361.8
225;45;      31.7;      28.9;      39.5;      44.5;      53.1;      64.8;      63.4;61;      41.5;38;      40.9;      40.4;     546.8
226;45;      45.7;      42.3;      47.1;      54.9;      86.5;     111.8;     119.6;     104.6;      83.3;      53.3;      63.9;      55.3;     869.9
227;45;      82.1;      57.8;      66.3;      54.9;      57.8;      86.2;      82.1;      55.3;65;      67.1;      70.4;      90.4;     835.6
228;45;      48.7;      44.9;48;      64.3;      76.9;     107.8;     102.2;      89.7;      72.2;      59.9;      63.7;59;     836.9
229;46;      46.8;47;      53.1;      64.4;      77.8;      97.2;     107.8;      86.3;      68.4;      53.5;      64.1;      55.5;822
230;46;      46.1;      46.3;      48.5;      61.6;      80.8;     102.8;103;      89.2;      71.3;      57.5;      62.3;      57.1;     826.5
